reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at
031b2904-fc2d-458f-acc5-4a4e3b59a7eb,A Google user,Very bad,1,0,350.1.0.46.93,2024-10-04 14:54:53
0e5fd65c-3a6a-42c1-a35d-e86a1ef2d6d6,A Google user,No words and support begginers do about that anything,5,0,351.0.0.41.106,2024-10-04 14:54:33
bfeb6f1e-5ea6-4cae-803f-26eb7c82b266,A Google user,👍,5,0,351.0.0.41.106,2024-10-04 14:54:29
1d2369c6-fa76-4cb9-9fbd-94c7ebd6fd1c,A Google user,👍,5,0,349.3.0.42.104,2024-10-04 14:53:40
0f0d5232-0d16-45ca-b298-b7b03892dd73,A Google user,My friend is sending me reels but it is being said in the message that this message unavailable . and I can't see stories 😡,1,0,351.0.0.41.106,2024-10-04 14:53:31
6784aa05-cfdd-4481-ab97-21cdf26ba491,A Google user,✨♾️,5,0,335.0.0.39.93,2024-10-04 14:53:28
7b9e3fc1-82e9-43f9-9225-7fa295e4d3e1,A Google user,"The intentional movement of the ai feature bothers me. The space where the camrea option for taking selfies used to be is now occupied by the ai creator menu. I dislike this change as I prefer to share what i see or want, not what Ai can do.",1,0,351.0.0.41.106,2024-10-04 14:53:28
77809cf8-d6e2-430b-b389-325ac409160a,A Google user,Vishal Kumar,5,0,351.0.0.41.106,2024-10-04 14:53:17
2bcdb975-e3d1-46fc-a672-a252a3457bba,A Google user,Londiya baje ke liye sahi hai 😋,5,0,350.1.0.46.93,2024-10-04 14:53:11
5d2fca8b-bce6-4b77-8803-5362e78a68e8,A Google user,Best app EVERRRRR,5,0,351.0.0.41.106,2024-10-04 14:53:11
40c65b2a-9048-4fe2-b513-fb0c2e3907e1,A Google user,Problem to here,2,0,351.0.0.41.106,2024-10-04 14:52:42
35856302-2232-4a04-94c1-fecd4c03632b,A Google user,It is good app 🫸🫷,5,0,351.0.0.41.106,2024-10-04 14:52:38
f7f3cd66-4de1-46de-918e-acc0b4b5552e,A Google user,very good once. download fast.,5,0,351.0.0.41.106,2024-10-04 14:52:16
